# MARVEL citing papers - papers with locatable MARVEL transitions and/or empirical levels.
# Columns: bibtex_key doi year molecules method data_status data_links link_kind notes
# Sorted by molecules A-Z then year newest-first. HIGH + MEDIUM TIERS - low tier pending.
bibtex_key	doi	year	molecules	method	data_status	data_links	link_kind	notes
21SyMcXx.CN	10.1093/mnras/stab1551	2021	CN	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/505/3/4383/6288427#supplementary-data	SI_zip	Trihybrid CN; updated MARVEL files in SI; MNRAS SI; SI stab1551_Supplementary_File.zip = updated MARVEL files
20SyMc	10.1093/mnras/staa2791	2020	CN	marvel	levels+trans	https://academic.oup.com/mnras/article/499/1/25/5904777#supplementary-data	SI_zip	12C14N; full MARVEL input in SI; MNRAS SI; SI staa2791_Supplemental_Files.zip = full MARVEL input file + vibronic-resolution tables
26GrDaPo	10.3847/1538-4365/ae40f0	2026	CO	marvel	levels+trans	https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t1_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t2_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t3_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t4_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t5_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t6_ascii.txt|https://iopscience.iop.org/0067-0049/283/1/39/suppdata/apjsae40f0t7_ascii.txt	journal_table|journal_table|journal_table|journal_table|journal_table|journal_table|journal_table	5 minor CO isotopologues; ApJS SI; MARVEL input transitions and output energies as AAS machine-readable tables, 5 CO isotopologues; minted key
25MaElAb	10.3847/1538-4365/ada3c9	2025	CO	marvel	levels+trans	https://iopscience.iop.org/0067-0049/276/2/66/suppdata/apjsada3c9t1_ascii.txt|https://iopscience.iop.org/0067-0049/276/2/66/suppdata/apjsada3c9t2_ascii.txt|https://iopscience.iop.org/0067-0049/276/2/66/suppdata/apjsada3c9t3_ascii.txt|https://iopscience.iop.org/0067-0049/276/2/66/suppdata/apjsada3c9t4_ascii.txt|https://iopscience.iop.org/0067-0049/276/2/66/suppdata/apjsada3c9t5_ascii.txt	journal_table|journal_table|journal_table|journal_table|journal_table	12C16O; ApJS SI; Appendix 'MARVEL Files': input transitions, segment file and output energies as machine-readable tables
10TaVeMi	10.1016/j.jqsrt.2010.01.026	2010	CO	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407310000373-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407310000373-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407310000373-mmc3.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407310000373-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407310000373-mmc5.zip	SI_zip|SI_zip|SI_zip|SI_file|SI_zip	12C16O critical evaluation
25AzAlTe	10.1016/j.jqsrt.2025.109485	2025	CO2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc5.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001475-mmc6.txt	SI_file|SI_file|SI_file|SI_file|SI_file|SI_file	17O13C18O + 17O13C17O; minted key
25AzAlAb	10.1038/s41597-025-04755-w	2025	CO2	marvel	levels+trans	https://osf.io/9pzew	repository	626M24; OSF repo 10.17605/OSF.IO/9PZEW; 626M24_transitions.txt
25MaAlAz	10.1080/00268976.2025.2550568	2025	CO2	marvel	levels+trans	https://doi.org/10.6084/m9.figshare.30051165|https://www.tandfonline.com/doi/suppl/10.1080/00268976.2025.2550568	repository|SI_zip	16O13C17O + 17O12C17O; Molecular Physics SI; figshare mirror of the T&F supplemental zip (305.7 kB); minted key
25ObAzAl	10.1016/j.jqsrt.2025.109444	2025	CO2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001062-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001062-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001062-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325001062-mmc4.txt	SI_file|SI_file|SI_file|SI_file	16O12C17O; minted key
24AlIbFu	10.1002/jcc.27453	2024	CO2	marvel	levels+trans	https://onlinelibrary.wiley.com/doi/10.1002/jcc.27453	SI_zip	16O12C18O; Wiley JCC SI; SI jcc27453-sup-0001-Supinfo.zip
24AzAzAb	10.1016/j.jms.2024.111947	2024	CO2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000742-mmc1.zip	SI_zip	18O12C18O, 17O12C18O, 18O13C18O; preprint: 10.2139/ssrn.4863850
25AzTeYu	10.1002/jcc.27541	2024	CO2	marvel	levels+trans	https://onlinelibrary.wiley.com/doi/10.1002/jcc.27541	SI_zip	16O13C18O; Wiley JCC SI; SI jcc27541-sup-0001-Supinfo.zip
24IbAlFu	10.1002/jcc.27266	2024	CO2	marvel	levels+trans	https://onlinelibrary.wiley.com/doi/10.1002/jcc.27266	SI_zip	13C16O2; Wiley JCC SI; SI jcc27266-sup-0001-supinfo.zip
25SaTexx	10.1016/j.jms.2025.111998	2025	CS2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285225000141-mmc1.zip	SI_zip	2 isotopologues; preprint: 10.2139/ssrn.5035277; minted key
22OwDoMc	10.1093/mnras/stac371	2022	CaH|MgH	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/511/4/5448/6526890#supplementary-data	SI_zip	XAB; new CaH/MgH data sets; MNRAS SI; SI stac371_Supplemental_File.zip; contents not itemised on the article page - verify on download
20YiOwTe	10.3847/1538-4365/ab85cb	2020	CaOH	marvel	levels+trans	https://iopscience.iop.org/0067-0049/248/1/9/suppdata/apjsab85cbt1_ascii.txt|https://iopscience.iop.org/0067-0049/248/1/9/suppdata/apjsab85cbt2_ascii.txt|https://iopscience.iop.org/0067-0049/248/1/9/suppdata/apjsab85cbt3_ascii.txt|https://iopscience.iop.org/0067-0049/248/1/9/suppdata/apjsab85cbt4_ascii.txt|https://content.cld.iop.org/journals/0067-0049/248/1/9/revision1/apjsab85cb_table4.tar.gz	journal_table|journal_table|journal_table|journal_table|SI_zip	MARVEL input+output for CaOH in SI; ApJS SI; MARVEL input and output files for CaOH
25BlTo.FeH	10.1016/j.jqsrt.2025.109650	2025	FeH	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407325003127-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325003127-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325003127-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325003127-mmc4.txt	SI_file|SI_file|SI_file|SI_file	term energy analysis; preprint: 10.2139/ssrn.5348719
23GeHjTeYu	10.1016/j.jqsrt.2023.108782	2023	H2CO	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc5.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732300300X-mmc6.docx	SI_file|SI_file|SI_file|SI_file|SI_file|SI_file	comb-FTS line list + improved MARVEL
21AfTeYu	10.1016/j.jqsrt.2021.107563	2021	H2CO	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S002240732100056X-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732100056X-mmc2.txt	SI_file|SI_file	xMARVEL input/output files in SI
23MeOwTe	10.1016/j.jms.2022.111732	2022	H2CS	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285222001497-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285222001497-mmc2.txt	SI_file|SI_file	MARVEL analysis of H2CS
13FuSzCs.marvel	10.1039/c3cp44610g	2013	H2D+|D2H+	marvel	levels+trans	https://pubs.rsc.org/cp/article-supplement/395686/txt/c3cp44610g_suppl/|https://pubs.rsc.org/cp/article-supplement/395686/txt/c3cp44610g_2_suppl/|https://pubs.rsc.org/cp/article-supplement/395686/zip/c3cp44610g_suppl/	SI_file|SI_file|SI_zip	MARVEL analysis of H2D+ and D2H+; RSC PCCP SI; SI files Transitions_h2d.txt, Transitions_d2h.txt, EnergyComparison.zip
25FuEgSuCo	10.1016/j.jqsrt.2025.109513	2025	H2O	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S002240732500175X-mmc1.csv|https://ars.els-cdn.com/content/image/1-s2.0-S002240732500175X-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S002240732500175X-mmc3.txt	SI_file|SI_file|SI_file	H216O reassessment, 6600-7500 cm-1; Elsevier mmc captions invisible - file roles unverified
25MiKoCa	10.1063/5.0273106	2025	H2O	marvel	levels+trans	https://pubs.aip.org/jpr/article/54/2/023103/3350611	SI_zip	HD17O + HD18O; JPCRD (AIP) SI; SI = complete line list of the analysed FTS spectra + derived HD17O and HD18O energy level sets; minted key
24FuToTe	10.1038/s41597-024-03847-3	2024	H2O	marvel	levels+trans	https://osf.io/4e237	repository	W2024 H216O; OSF repo 10.17605/OSF.IO/4E237 (W2024.zip); mirror respecth.elte.hu; minted key
24SiZoRo	10.1016/j.jms.2024.111965	2024	H2O	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc5.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285224000924-mmc6.txt	SI_file|SI_zip|SI_file|SI_file|SI_file|SI_file	HD17O theory+experiment; minted key
20FuToTea	10.1063/5.0008253	2020	H2O	marvel	levels+trans	https://pubs.aip.org/jpr/article/49/3/033101/242136	SI_zip	W2020 H216O; JPCRD (AIP) SI; SI zip = W2020 H216O validated transitions and empirical energy levels; minted key; key suffixed - collided with 20FuToTe
20FuToTeb	10.1063/5.0030680	2020	H2O	marvel	levels+trans	https://pubs.aip.org/jpr/article/49/4/043103/242144	SI_zip	W2020 II: H217O + H218O; JPCRD (AIP) SI; SI zip = transitions and energy levels for W2020 H216O, H217O and H218O; minted key; key suffixed - collided with 20FuToTe
19ToFuTe	10.1039/c8cp05169k	2019	H2O	marvel	companion	https://pubs.rsc.org/cp/article/21/7/3473/599379	landing_page	MARVEL protocol improvements + H216O energies/transitions; RSC PCCP SI; no ESI listed by RSC for this article; the W2018 H216O dataset is superseded by W2020 (see 20FuToTea/b) and the W2024 OSF repository
14TeBeBr.marvel	10.1016/j.jqsrt.2014.03.019	2014	H2O	iupac	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc3.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc4.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc5.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407314001356-mmc6.zip	SI_zip|SI_zip|SI_zip|SI_zip|SI_zip|SI_zip	IUPAC Part IV: D216O, D217O, D218O
13TeBeBrCa	10.1016/j.jqsrt.2012.10.002	2012	H2O	iupac	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407312004311-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407312004311-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407312004311-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407312004311-mmc4.zip	SI_file|SI_file|SI_file|SI_zip	IUPAC Part III: H216O
10TeBeBr.marvel	10.1016/j.jqsrt.2010.06.012	2010	H2O	iupac	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407310002578-mmc1.zip	SI_zip	IUPAC Part II
09MiTaPu.H2O	10.1016/j.jqsrt.2009.01.012	2009	H2O	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000132-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000132-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000132-mmc3.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000132-mmc4.zip	SI_zip|SI_zip|SI_zip|SI_zip	HD18O critical evaluation
09TeBeBr.marvel	10.1016/j.jqsrt.2009.02.014	2009	H2O	iupac	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000703-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407309000703-mmc2.zip	SI_zip|SI_zip	IUPAC Part I: H217O and H218O
18ChNaKe	10.1016/j.jqsrt.2018.07.012	2018	H2S	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407318302565-mmc2.zip	SI_zip	H2 32S, ortho/para split files
13FuSzEd.marvel	10.1021/ct4004355	2013	H3+	marvel	levels+trans	https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_001/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_002/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_003/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_004/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_005/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_006/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_007/|https://pubs.acs.org/jctcce/article-supplement/846952/txt/ct4004355_si_008/	SI_file|SI_file|SI_file|SI_file|SI_file|SI_file|SI_file|SI_file	rovibrational states of H3+; ACS JCTC SI; eight SI text files
22RaFuFuAg	10.1016/j.jms.2021.111561	2021	HOCl	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285221001387-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285221001387-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285221001387-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285221001387-mmc4.txt	SI_file|SI_file|SI_file|SI_file	H16O35Cl
26KhBrYu	10.1093/mnras/stag979	2026	KH	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/doi/10.1093/mnras/stag979/8691585#supplementary-data	SI_zip	empirical X/A/B levels; MNRAS SI; SI stag979_Supplemental_Files.zip = Duo input + MARVEL input/output/segment files for 39KH; minted key
19LiYuTe	10.1093/mnras/stz912	2019	MgO	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/486/2/2351/5475901#supplementary-data	SI_zip	LiTY; MARVEL transitions and energy files in SI; MNRAS SI; SI 'Supplemental File.zip' = MARVEL transitions and energy files + Duo input
24McBoKe	10.1093/rasti/rzae037	2024	MgO|TiO|VO	exomol_linelist	levels+trans	https://academic.oup.com/rasti/article/3/1/565/7746432#supplementary-data	SI_zip	hybrid line lists; SI carries this work's MARVEL levels; RASTI SI; SI rzae037_Supplemental_Files.zip = MARVEL energy, transitions and segment files for 24Mg16O, 48Ti16O, 51V16O
24TeFuYu	10.1016/j.jqsrt.2024.108902	2024	N2O	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000098-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000098-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000098-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407324000098-mmc5.txt	SI_file|SI_file|SI_file|SI_file	14N2 16O empirical rovibrational levels
24PeMc.NH	10.1093/mnras/stae1340	2024	NH	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/531/3/3023/7684295#supplementary-data	SI_zip	trihybrid NH model; MNRAS SI; SI stae1340_Supplemental_File.zip; contents not itemised on the article page - verify on download
19DaShJo	10.1016/j.jms.2019.06.002	2019	NH	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022285219300979-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022285219300979-mmc3.txt	SI_file|SI_file	14NH; SI includes ReadMe.txt describing resistance labels
25SmYuTe	10.1016/j.jqsrt.2025.109620	2025	NH3	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407325002821-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325002821-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325002821-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407325002821-mmc4.txt	SI_file|SI_file|SI_file|SI_file	14NH3 update
24YuBoBr	10.1093/mnras/stae1849	2024	NH3	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/533/3/3442/7725073#supplementary-data	SI_zip	15NH3; SI states MARVEL input(+segment) and output energy files; MNRAS SI; SI stae1849_Supplemental_File.zip = MARVEL input (transitions and segment) and output (energy) files + HITRAN-format 15NH3 lines
20FuCoTe	10.1016/j.jqsrt.2020.107027	2020	NH3	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc1.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc2.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc3.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc4.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc5.txt|https://ars.els-cdn.com/content/image/1-s2.0-S0022407320301898-mmc6.txt	SI_file|SI_file|SI_file|SI_file|SI_file|SI_file	14NH3 up to 7500 cm-1
15AlFuTe.NH3	10.1016/j.jqsrt.2015.03.034	2015	NH3	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407315001442-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407315001442-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407315001442-mmc3.zip	SI_zip|SI_zip|SI_zip	14NH3
21QiCoYu	10.1063/5.0038527	2021	NO	marvel	levels+trans	https://pubs.aip.org/jcp/article/154/7/074112/200853	SI_zip	A/B/C states empirical levels; AIP JCP SI (3 text files); SI zip = three text files including the Duo input and the NO transition data
17WoYuBe	10.1093/mnras/stx1211	2017	NO	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/470/1/882/3833248#supplementary-data	SI_zip	XABC precursor; MARVEL input file used, SI listing to confirm; MNRAS SI; SI sl.zip; contents not itemised on the article page - verify on download
19FuHoKoSo	10.1063/1.5083135	2019	O2	marvel	levels+trans	https://pubs.aip.org/jpr/article/48/2/023101/242060	SI_zip	16O2, 7 lowest electronic states; JPCRD (AIP) SI; SI zip = 16O2 MARVEL transitions and empirical rovibronic energy levels
25UpFuPe	10.1016/j.jqsrt.2025.109399	2025	O3	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407325000615-mmc1.zip	SI_zip	16O3; preprint: 10.2139/ssrn.4882917; minted key
23XuTexx	10.1080/00268976.2023.2279694	2023	OCS	marvel	levels+trans	https://www.tandfonline.com/doi/full/10.1080/00268976.2023.2279694	SI_file	SI = MARVEL input transitions + output energies + segment file; Molecular Physics SI; data availability: MARVEL input transitions file, MARVEL output energy file and segment file; T&F asset URLs are tokenised; minted key
24SeElYu	10.1093/mnras/stae2610	2024	PN	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/536/1/714/7906605#supplementary-data	SI_zip	PaiN; MARVEL analysis of X/A states; MNRAS SI; SI stae2610_Supplemental_File.zip = Duo input + MARVEL input (transitions and segment) and output (energy) files + PGOPHER file
23BrYuTe	10.1093/mnras/stad3508	2023	SO	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/527/3/6675/7424995#supplementary-data	SI_zip	SOLIS; SI item (b) is the MARVEL data set; MNRAS SI; SI stad3508_Supplemental_File.zip = Duo input carrying MARVEL term values + the MARVEL data set
18ToFuCs	10.1016/j.jqsrt.2018.01.006	2018	SO2	marvel	levels+trans	https://ars.els-cdn.com/content/image/1-s2.0-S0022407317305721-mmc1.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407317305721-mmc2.zip|https://ars.els-cdn.com/content/image/1-s2.0-S0022407317305721-mmc3.zip	SI_zip|SI_zip|SI_zip	S16O2 with 32S/33S/34S/36S; minted key
22SeClYu	10.1093/mnras/stac2004	2022	SiN	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/516/1/1158/6649334#supplementary-data	SI_zip	SiNful; SI = MARVEL input transitions + output energies; MNRAS SI; SI stac2004_Supplemental_Files.zip = MARVEL input transitions and output energy files + PGOPHER + partition function
21YuTeSy	10.1093/mnras/stab3267	2021	SiO	exomol_linelist	levels+trans	https://academic.oup.com/mnras/article/510/1/903/6426188#supplementary-data	SI_zip	SiOUVenIR; SI = MARVEL input transitions + output energy levels; MNRAS SI; SI stab3267_Supplemental_File.zip = MARVEL input transitions and output energy levels + Duo input
